order_id,customer_id,product_id,order_date,order_time,quantity,unit_price,discount,total_price,supplier_id,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,billing_address,billing_city,billing_state,billing_country,billing_postal_code,tracking_number,status
22,22,22,3/17/2022,14.79,40,503.95,0.25,5300.19,22,cash,98643 Maple Alley,Mirzāpur,,Bangladesh,1945,1 Bayside Lane,Almere Haven,16,Netherlands,1360,4843138903,shipped
23,23,23,4/7/2020,22.55,28,311.53,0.83,4649.91,23,debit card,797 Melody Point,Banjar Dauhpura,,Indonesia,,8071 Norway Maple Way,Nishio,,Japan,969-6244,4248694678,delivered
24,24,24,3/3/2020,9.31,100,259.52,0.82,5740.96,24,credit card,964 Moland Junction,Yuyue,,China,,153 Ilene Court,La Purisima,GUA,Mexico,36200,3124212612,processing
25,25,25,5/4/2021,14.16,65,434.67,0.34,5040.28,25,credit card,31908 Monument Center,Buqei‘a,,Israel,,96 Jackson Junction,Whittier,CA,United States,90605,7983511588,pending
26,26,26,10/5/2022,14.23,62,523.7,0.47,9406.94,26,debit card,95 American Ash Parkway,Mt Peto,,Jamaica,,2808 Eliot Court,Sabaneta,,Dominican Republic,11808,5546029437,processing
27,27,27,1/15/2020,20.23,78,814.52,0.8,4922.65,27,debit card,9 High Crossing Park,Dancheng,,China,,1451 Darwin Avenue,Moca,,Dominican Republic,11902,7708783222,delivered
28,28,28,5/21/2020,23.04,61,516.98,0.42,9011.17,28,debit card,1 Schlimgen Hill,Urpay,,Peru,,94444 Glendale Plaza,Maputsoe,,Lesotho,,5321283611,shipped
29,29,29,1/28/2022,16.7,21,486.84,0.19,5743.9,29,debit card,700 Carey Parkway,Opatów,,Poland,42-152,03645 Sunfield Parkway,Lepaterique,,Honduras,,5814877874,shipped
30,30,30,5/8/2022,12.44,13,964.15,0.79,9247.66,30,cash,4355 Morrow Center,Cardona,,Philippines,1950,4488 Bunker Hill Park,Ōtsuchi,,Japan,350-0134,1697053315,pending
31,31,31,3/13/2022,23.23,70,379.62,0.58,49.7,31,debit card,74565 Grayhawk Pass,Kristiansand S,10,Norway,4663,5 Kipling Alley,Campurrejo,,Indonesia,,1598214413,shipped
32,32,32,2/27/2021,20.66,67,430.83,0.56,5573.23,32,credit card,2 Scott Street,Layog,,Philippines,9610,9 Granby Avenue,Thị Trấn Phong Thổ,,Vietnam,,4016627885,processing
33,33,33,8/18/2022,10.78,100,794.01,0.65,616.33,33,cash,98 Barby Trail,Kilkís,,Greece,,15598 Jackson Junction,La Chapelle-sur-Erdre,B5,France,44244 CEDEX,4630062230,processing
34,34,34,5/18/2021,21.32,5,936.18,0.37,8397.16,34,credit card,159 Colorado Trail,Naukšēni,,Latvia,,4669 Packers Street,Chicama,,Peru,,9064444565,pending
35,35,35,9/25/2020,2.36,6,21.19,0.47,1712.73,35,cash,3838 Arizona Plaza,Santa Teresita,,Philippines,4206,5567 Reindahl Park,Kota Bharu,KTN,Malaysia,15572,1736307190,processing
36,36,36,12/8/2022,2.25,60,182.93,0.48,1331.47,36,cash,0236 Merrick Way,Rizal,,Philippines,7104,197 Sutherland Drive,Shijak,,Albania,,9092902537,processing
37,37,37,7/15/2022,23.0,6,269.38,0.84,1082.66,37,cash,1623 Gerald Alley,Gaoua,,Burkina Faso,,355 Oneill Lane,Palangkaraya,,Indonesia,,6726052820,shipped
38,38,38,2/24/2020,2.26,57,230.42,0.81,671.93,38,debit card,7 Lakewood Way,Herong,,China,,64 Kinsman Street,Kamalasai,,Thailand,46130,4971583626,processing
39,39,39,2/18/2022,17.87,21,623.04,0.78,4490.06,39,debit card,014 Milwaukee Center,Miyata,,Japan,981-4305,3 Dunning Place,Liangli,,China,,2155401482,shipped
40,40,40,5/13/2021,5.79,7,945.22,0.72,5119.51,40,cash,72 Forest Run Place,San Vicente de Moravia,,Costa Rica,11403,0170 Harbort Lane,Bartniczka,,Poland,87-321,1176975117,processing
41,41,41,5/14/2022,10.86,48,681.32,0.21,9807.25,41,credit card,780 Oneill Road,Blachownia,,Poland,42-293,78 Ohio Alley,Fakaifou Village,,Tuvalu,,2127046931,processing
42,42,42,6/29/2022,3.28,94,697.0,0.95,2090.07,42,credit card,07 Valley Edge Lane,Korenëvo,,Russia,393925,8370 Thackeray Lane,Borzechów,,Poland,24-224,1885878358,delivered
43,43,43,1/6/2021,13.64,47,192.09,0.85,7978.96,43,debit card,4712 Petterle Point,Świlcza,,Poland,36-072,5750 Service Circle,Palmas,,Brazil,77000-000,7419704381,delivered
44,44,44,9/5/2022,23.14,39,481.46,0.78,5153.39,44,debit card,04 Sullivan Avenue,Enhtal,,Mongolia,,40571 Stone Corner Road,Mari,,Brazil,58345-000,2960086370,shipped
45,45,45,12/11/2021,1.05,40,130.37,0.79,8350.78,45,cash,29 Grasskamp Lane,Bitica,,Equatorial Guinea,,384 Mandrake Pass,Tubungan,,Philippines,5027,5630118220,processing
46,46,46,8/15/2021,15.57,60,225.99,0.95,8665.07,46,debit card,668 South Point,Oughterard,,Ireland,P72,9 Bobwhite Crossing,Tirapata,,Peru,,4324998668,delivered
47,47,47,2/29/2020,19.94,48,186.99,0.06,5103.92,47,cash,38 Judy Drive,Węgrzce Wielkie,,Poland,32-002,57 Randy Center,Hongtu,,China,,9983582666,pending
48,48,48,5/2/2021,8.21,69,746.24,0.03,457.04,48,debit card,63 Lerdahl Terrace,Chachoengsao,,Thailand,30330,93 Randy Court,Tutem,,Indonesia,,8259075245,pending
49,49,49,2/20/2022,15.52,38,715.29,0.81,304.28,49,cash,3 Chinook Plaza,Kaoshan,,China,,7554 Tennyson Alley,Louredo,01,Portugal,4525-355,4898988376,delivered
50,50,50,11/19/2022,18.78,39,262.77,0.57,9120.94,50,credit card,6 Bayside Parkway,Cigebrok,,Indonesia,,5 Kim Pass,Wuda,,China,,3297628470,pending
51,51,51,7/12/2021,8.67,96,819.33,0.57,187.38,51,debit card,49028 Toban Hill,Palalang,,Indonesia,,036 Elgar Alley,Banī Ḩassān,,Tunisia,,4550370398,shipped
52,52,52,7/11/2020,23.69,49,522.19,0.56,3919.65,52,cash,66 Carey Pass,Changtan,,China,,7 Homewood Terrace,Morales,,Colombia,134548,9622826829,delivered
53,53,53,1/8/2022,15.03,50,535.37,0.04,557.04,53,cash,16 John Wall Parkway,Huangjinbu,,China,,30 Armistice Hill,Iranduba,,Brazil,69405-000,1473395532,shipped
54,54,54,1/11/2021,23.11,52,87.81,0.2,9836.19,54,cash,5 Sutherland Trail,Chroustovice,,Czech Republic,538 63,48953 Buell Point,Giyon,,Ethiopia,,7303586442,processing
55,55,55,11/14/2022,5.66,46,935.1,0.05,3733.22,55,cash,48 Emmet Center,Beidao,,China,,940 Sullivan Road,Loikaw,,Myanmar,,9055558433,shipped
56,56,56,7/19/2022,6.19,83,961.62,0.22,8048.35,56,credit card,5 Clemons Court,Paços de Ferreira,13,Portugal,4590-170,621 Dorton Court,Dois Córregos,,Brazil,17300-000,1403137169,processing
57,57,57,9/12/2022,21.2,22,892.54,0.71,1252.03,57,cash,24106 Lake View Road,Ventanas,,Ecuador,,556 Eggendart Lane,Korets’,,Ukraine,,6029602099,shipped
58,58,58,10/1/2020,9.11,57,765.7,0.74,1542.82,58,debit card,72584 Crest Line Avenue,Caetité,,Brazil,46400-000,175 Straubel Hill,Qusar,,Azerbaijan,,7169284200,pending
59,59,59,9/20/2020,8.79,39,683.65,0.65,4217.65,59,debit card,404 Saint Paul Park,Kimry,,Russia,171508,39 Farmco Street,Bugko,,Philippines,6417,7537876576,shipped
60,60,60,5/24/2022,15.95,61,38.67,0.57,6032.38,60,cash,38084 Starling Lane,Murça,17,Portugal,5090-105,8016 Montana Terrace,Zlataritsa,,Bulgaria,5170,1827857545,processing
61,61,61,12/13/2022,11.35,40,604.88,0.13,9587.22,61,debit card,58 Farragut Hill,Grand Junction,CO,United States,81505,8982 Northland Alley,Kalloní,,Greece,,6737819928,delivered
62,62,62,4/11/2021,14.12,36,146.41,0.58,6787.32,62,cash,963 Banding Hill,Xinfeng,,China,,1 Weeping Birch Pass,Mérignac,97,France,33699 CEDEX,6787903471,shipped
63,63,63,10/26/2021,12.03,40,106.61,0.29,780.4,63,debit card,027 Transport Circle,Merdeka,,Indonesia,,67 Bowman Avenue,Brikama,,Gambia,,9604905623,delivered
64,64,64,5/9/2022,18.82,74,450.4,0.18,9941.46,64,debit card,98 Green Ridge Road,Banjar Tengah,,Indonesia,,37 Randy Point,Mętków,,Poland,32-503,6287570560,pending
65,65,65,2/13/2021,21.75,60,8.85,0.39,806.22,65,debit card,73484 Schmedeman Drive,Bielawa,,Poland,58-263,190 Dapin Plaza,Toledo,CM,Spain,45071,4594281805,pending
66,66,66,12/21/2021,21.31,59,238.38,0.37,1582.87,66,credit card,77 Arapahoe Avenue,San Cristóbal,,Dominican Republic,10702,4 Donald Road,Kostarea Satu,,Indonesia,,7742871384,delivered
67,67,67,9/12/2020,10.17,35,976.23,0.54,6459.75,67,cash,8 Mandrake Alley,Berlín,,El Salvador,,12747 Browning Avenue,Labo,,Philippines,4604,2760157062,processing
68,68,68,1/18/2021,17.34,44,316.42,0.52,5552.12,68,debit card,85783 Del Sol Parkway,Tầm Vu,,Vietnam,,22498 Eagle Crest Street,Dingshu,,China,,9435263017,processing
69,69,69,8/29/2021,4.18,10,360.25,0.59,7188.59,69,cash,952 Redwing Drive,Kandangan,,Indonesia,,7138 Del Sol Pass,Blackfalds,AB,Canada,J5K,2063039178,pending
70,70,70,4/12/2020,23.49,70,430.53,0.15,2160.12,70,cash,27422 Washington Road,Cidadap,,Indonesia,,8821 Stang Alley,Lady Grey,,South Africa,9755,7757593102,shipped
71,71,71,8/24/2020,18.76,69,45.77,0.13,9299.94,71,debit card,943 Green Junction,Pinrang,,Indonesia,,6913 Northland Place,Omuo-Ekiti,,Nigeria,,4423164860,pending
72,72,72,4/17/2021,20.6,56,510.47,0.24,1684.48,72,credit card,3 Reindahl Terrace,‘Aşīrah al Qiblīyah,,Palestinian Territory,,60367 Continental Pass,Tutul,,Indonesia,,1328848875,processing
73,73,73,11/9/2021,0.1,90,793.99,0.43,9876.83,73,debit card,5 Eliot Pass,Arnhem,03,Netherlands,6804,81 Kropf Pass,Antíparos,,Greece,,5333812583,pending
74,74,74,2/16/2020,10.71,44,922.91,0.7,3419.56,74,debit card,9 Gale Point,Krasnoarmeysk,,Russia,141292,11849 Walton Park,Giemdiem,,Vietnam,,5351529212,shipped
75,75,75,12/31/2020,4.35,63,336.57,0.36,3878.06,75,credit card,2993 Esker Street,Shar’ya,,Russia,157510,9 Pennsylvania Plaza,Anding,,China,,4861852859,shipped
76,76,76,11/4/2021,18.88,89,321.07,0.48,1852.89,76,credit card,83 Bobwhite Junction,Turi,,Indonesia,,519 Carey Circle,Horton,ENG,United Kingdom,BS37,6634107199,delivered
77,77,77,1/16/2021,15.47,32,866.98,0.76,2171.74,77,credit card,73767 Stang Way,Lae,,Papua New Guinea,,8905 Arrowood Drive,Hanjiaji,,China,,1104891185,shipped
78,78,78,6/17/2022,23.8,89,688.02,0.84,3320.87,78,credit card,368 Dexter Alley,Doumuhu,,China,,84675 Luster Crossing,Verkhniy Dashkesan,,Azerbaijan,,9937080984,processing
79,79,79,12/20/2022,17.75,59,407.14,0.24,7537.18,79,cash,0928 Iowa Park,Sanlanbahai,,China,,340 Thackeray Street,Piteå,BD,Sweden,941 28,1436307727,shipped
80,80,80,2/28/2021,16.48,15,753.18,0.81,9442.02,80,debit card,4938 Hayes Avenue,Mandal,,Mongolia,,5144 Blue Bill Park Terrace,Sinarbakti,,Indonesia,,3597136361,shipped
81,81,81,3/20/2020,13.18,58,657.75,0.7,3356.6,81,debit card,681 Arkansas Terrace,Fubei,,China,,633 Arrowood Trail,Chating,,China,,8401865971,delivered
82,82,82,9/27/2022,1.01,61,180.18,0.28,5304.11,82,cash,682 Artisan Terrace,Bancal,,Philippines,1106,98493 Wayridge Trail,Xindong,,China,,8393485320,delivered
83,83,83,7/26/2022,12.05,13,754.01,0.06,3303.79,83,credit card,744 Crescent Oaks Trail,Kajar,,Indonesia,,267 Arrowood Junction,Charlottesville,VA,United States,22908,4299672223,shipped
84,84,84,6/28/2022,17.58,88,605.07,0.75,9652.95,84,debit card,82281 Golf Circle,Loshnitsa,,Belarus,,6558 Cascade Road,Chennevières-sur-Marne,A8,France,94434 CEDEX,3013793640,pending
85,85,85,9/11/2021,15.35,12,913.17,0.23,7533.84,85,debit card,4412 Sommers Drive,Tanjung,,Indonesia,,0 Talmadge Place,Shetan,,China,,6785906588,processing
86,86,86,1/16/2021,16.89,6,470.22,0.55,337.88,86,debit card,1 Dunning Place,Griboyedov,,Armenia,,063 Heath Court,Lebak,,Indonesia,,2435817810,processing
87,87,87,2/3/2022,14.9,47,750.41,0.22,3179.64,87,credit card,70 Green Street,Buy,,Russia,157008,437 Ridge Oak Circle,Bagacay,,Philippines,7032,6324939647,shipped
88,88,88,2/1/2022,15.66,92,153.1,0.57,1730.88,88,credit card,4 8th Lane,Castañas,,Philippines,4301,4765 Dryden Street,Topola,,Serbia,,2110323211,delivered
89,89,89,7/1/2021,14.87,31,250.0,0.18,6132.1,89,debit card,00 Lindbergh Lane,Purwa,,Indonesia,,94 Iowa Way,Tacheng,,China,,9987814738,processing
90,90,90,2/16/2022,19.76,14,365.22,0.62,3371.26,90,credit card,9088 Sunnyside Hill,Geghanist,,Armenia,,5 Hansons Street,Chigasaki,,Japan,253-0041,6440791937,pending
91,91,91,11/10/2021,13.93,23,507.99,0.68,8832.48,91,credit card,337 Golf Course Point,Tabatinga,,Brazil,14910-000,28 Grayhawk Pass,Gadžin Han,,Serbia,,8065062324,shipped
92,92,92,9/11/2022,1.4,48,247.49,0.39,9734.85,92,cash,688 Hovde Way,Petite Anse,,Haiti,,38 Eagan Parkway,Al Finţās,,Kuwait,,5278873307,delivered
93,93,93,11/28/2020,19.0,15,344.93,0.36,2067.45,93,credit card,5622 Maryland Point,Stockholm,AB,Sweden,115 32,32 Vermont Plaza,Kafyr-Kumukh,,Russia,368216,2158611037,pending
94,94,94,11/6/2021,14.69,73,938.03,0.89,7004.88,94,credit card,637 Parkside Parkway,Kibuku,,Uganda,,99125 Springview Park,Tāndo Mittha Khān,,Pakistan,40411,9892798142,delivered
95,95,95,6/29/2020,2.41,53,133.38,0.31,5238.28,95,credit card,18 La Follette Court,Toledo,,Brazil,85900-000,811 Sommers Lane,Ban Nong Wua So,,Thailand,21140,5193293471,processing
96,96,96,4/4/2022,20.45,40,411.67,0.73,6616.26,96,credit card,8 Debra Junction,Garupá,,Argentina,3304,483 Dawn Lane,Mojoagung,,Indonesia,,6242690958,processing
97,97,97,1/26/2020,16.64,16,220.01,0.71,2584.37,97,cash,7111 Lakeland Avenue,Balally,,Ireland,D04,71465 Sloan Crossing,Iroquois Falls,ON,Canada,L6K,9056480929,shipped
98,98,98,2/11/2022,1.37,59,422.24,0.44,4352.04,98,debit card,2537 Hagan Place,Jishui,,China,,8 Badeau Center,Buffalo,NY,United States,14276,3258279309,processing
99,99,99,12/16/2021,6.37,54,889.56,0.47,977.09,99,credit card,79 Petterle Court,Xiaocheng,,China,,4440 Lotheville Point,Moriya,,Japan,962-0305,1399361841,pending
100,100,100,1/31/2020,16.87,74,569.29,0.75,7317.64,100,cash,47 Canary Court,Ujsoły,,Poland,34-371,5 Brickson Park Center,Hecun,,China,,9957434299,delivered
101,101,101,10/30/2020,2.98,39,885.62,0.32,3305.74,101,cash,60050 Johnson Center,Takarazuka,,Japan,666-0137,8987 Randy Drive,Rungis,A8,France,94598 CEDEX 2,2899970613,shipped
102,102,102,5/7/2022,18.57,42,444.7,0.21,7151.65,102,credit card,09135 Talmadge Place,Gengcheng,,China,,03 Pond Alley,Foso,,Ghana,,1557360500,processing
103,103,103,5/2/2020,17.32,2,798.22,0.73,1827.83,103,cash,1 Browning Pass,Weru,,Indonesia,,8 Florence Point,Freixo de Numão,09,Portugal,5155-205,4165724255,delivered
104,104,104,5/11/2020,20.82,65,997.99,0.18,6015.12,104,cash,9549 Rigney Trail,Velká Bystřice,,Czech Republic,783 53,080 Brown Alley,Pangrumasan,,Indonesia,,9329292870,shipped
105,105,105,7/3/2022,5.5,68,905.0,0.64,7944.49,105,credit card,66199 Sheridan Circle,Inongo,,Democratic Republic of the Congo,,7222 Glendale Junction,Oliveira,,Brazil,35540-000,6684793768,pending
106,106,106,4/7/2021,10.95,49,71.87,0.26,1007.66,106,credit card,0 Waubesa Trail,Philadelphia,PA,United States,19151,3869 Shoshone Pass,Yuelai,,China,,6044731841,pending
107,107,107,4/10/2021,10.18,11,853.23,0.77,2148.33,107,credit card,446 Declaration Way,Kuivaniemi,,Finland,95100,0652 Talisman Alley,Balas,,Philippines,6207,2628940601,pending
108,108,108,10/28/2020,17.9,95,823.63,0.39,6030.85,108,credit card,203 Continental Place,Huskvarna,F,Sweden,561 50,6 Magdeline Place,Libon,,Philippines,4507,9431970877,processing
109,109,109,7/30/2021,14.51,3,39.86,0.4,2515.96,109,debit card,89762 Holmberg Hill,Obiliq,,Kosovo,,36 Fuller Way,Ozubulu,,Nigeria,,9740697463,pending
110,110,110,5/9/2021,21.09,40,955.27,0.8,4269.34,110,debit card,7 Tony Place,Fusheng,,China,,33116 Springview Center,Kolochava,,Ukraine,,2020602114,shipped
111,111,111,2/3/2021,9.24,81,14.39,0.13,4622.77,111,credit card,53351 Roxbury Hill,Tarragona,,Philippines,8201,49 West Plaza,‘Arīshah,,Syria,,7267795704,pending
112,112,112,10/11/2020,17.62,37,445.43,0.35,1188.47,112,credit card,72 Center Road,Donegal,,Ireland,A85,9 Merry Drive,Baoshi,,China,,4165126222,processing
113,113,113,9/30/2021,22.78,12,645.62,0.06,3184.39,113,credit card,2456 Maryland Plaza,Monte da Chaminé,07,Portugal,7200-202,385 Lakewood Gardens Road,Safara,02,Portugal,7875-055,3339057882,processing
114,114,114,6/14/2022,20.13,3,322.24,0.96,2194.98,114,debit card,220 Upham Parkway,Souran,,Syria,,2 Mendota Parkway,Cintra,,Argentina,2559,1731653161,delivered
115,115,115,11/7/2020,17.9,9,57.35,0.81,2514.04,115,debit card,01 Clarendon Terrace,Si Prachan,,Thailand,72140,89644 Bluestem Pass,Vryburg,,South Africa,8680,8974270294,delivered
116,116,116,11/4/2022,7.46,63,395.02,0.92,9156.81,116,debit card,98626 Eliot Avenue,Zárkos,,Greece,,8 West Center,Ouricuri,,Brazil,56200-000,2671257093,processing
117,117,117,9/24/2021,16.6,22,173.18,0.91,3686.55,117,credit card,322 Rockefeller Lane,Tullinge,AB,Sweden,146 40,9 Warrior Court,Tatarsk,,Russia,632147,6577317866,processing
118,118,118,3/25/2020,7.79,51,55.26,0.84,8925.27,118,credit card,625 Kinsman Terrace,Pasrukrajan Satu,,Indonesia,,48 Esch Terrace,Chorente,03,Portugal,4755-121,3845029024,shipped
119,119,119,1/23/2021,6.93,65,853.35,0.12,9235.49,119,debit card,9391 Anniversary Plaza,Ar Rumaythah,,Iraq,,44314 Waywood Hill,Licheng,,China,,6392770643,delivered
120,120,120,6/24/2020,10.35,67,995.23,0.85,253.73,120,credit card,9 Amoth Court,Landi Kotal,,Pakistan,24740,38 Roth Avenue,Encantado,,Brazil,95960-000,8912463587,pending
121,121,121,10/18/2022,13.87,79,299.03,0.6,5901.96,121,debit card,466 International Place,Lahad Datu,SBH,Malaysia,91117,265 Crownhardt Junction,Lunéville,B2,France,54304 CEDEX,2681178524,processing
122,122,122,9/3/2022,14.49,14,806.38,0.29,4348.19,122,credit card,336 Dapin Junction,České Meziříčí,,Czech Republic,517 71,65214 8th Road,Tambong,,Philippines,5209,6706991951,processing
123,123,123,6/13/2022,18.47,11,158.91,0.24,4338.05,123,debit card,75584 Dawn Trail,Buin,,Chile,,877 Southridge Parkway,Azenhas do Mar,11,Portugal,2705-085,3558606545,shipped
124,124,124,1/6/2022,15.41,98,442.44,0.59,6618.39,124,debit card,2 Truax Drive,Bungkal,,Indonesia,,778 Esch Road,Taojiahe,,China,,1602967827,pending
125,125,125,12/27/2021,16.12,45,251.32,0.66,7361.45,125,debit card,37236 Mccormick Crossing,Níkaia,,Greece,,010 Lyons Hill,Dinskaya,,Russia,353226,8652878986,processing
126,126,126,6/19/2020,23.37,63,83.57,0.63,1925.07,126,cash,07 Continental Pass,Londres,,Argentina,4753,041 Scoville Way,Latung,,Philippines,1119,1153335754,shipped
127,127,127,2/17/2021,2.69,28,941.02,0.18,7290.64,127,cash,62734 Anderson Trail,Narsaq,,Greenland,3921,19 Dovetail Junction,Checca,,Peru,,3452600185,shipped
128,128,128,5/18/2020,12.6,7,309.68,0.86,7205.49,128,credit card,409 Heath Point,Tolú,,Colombia,706018,373 Blackbird Point,Öjebyn,BD,Sweden,943 36,8878293180,processing
129,129,129,2/26/2022,19.46,20,316.51,0.12,9704.05,129,credit card,06 Kensington Street,Kham Sakae Saeng,,Thailand,30290,545 Bartillon Plaza,Mangli,,Indonesia,,3416649893,pending
130,130,130,5/9/2021,22.82,5,713.71,0.75,1282.38,130,debit card,1689 6th Avenue,Domartang,,China,,06938 Oakridge Circle,San Antonio,,Philippines,6407,8528947167,processing
131,131,131,6/7/2020,7.58,34,450.77,0.08,8637.81,131,cash,6310 Gulseth Court,Wangi,,Indonesia,,93804 Dennis Circle,Fordon,,Poland,86-055,1197665544,delivered
132,132,132,9/6/2021,18.04,9,191.32,0.14,9461.58,132,cash,81820 Sloan Lane,Krasnolesnyy,,Russia,394080,222 Logan Court,Kedungcangkring,,Indonesia,,1464634807,shipped
133,133,133,6/7/2020,10.0,29,876.47,0.15,8539.49,133,cash,8098 Moulton Road,Aţ Ţawīlah,,Yemen,,98 Myrtle Center,Mandaue City,,Philippines,6014,1767105300,delivered
134,134,134,4/28/2022,15.83,74,50.55,0.5,2124.92,134,cash,84902 American Drive,Satu Nou,38,Romania,737513,8448 Starling Street,Teresa,,Philippines,1880,8919634628,delivered
135,135,135,6/2/2021,14.4,65,266.81,0.02,1794.36,135,debit card,8 East Alley,Limeiras,14,Portugal,2260-114,16404 Sauthoff Drive,Tsukumiura,,Japan,879-2413,9011239160,pending
136,136,136,8/31/2020,9.0,37,275.47,0.94,3129.5,136,debit card,70 Little Fleur Plaza,Tutul,,Indonesia,,28774 Crowley Street,Fort Liberté,,Haiti,,6894972481,pending
137,137,137,5/7/2022,2.4,78,451.64,0.29,6861.97,137,debit card,14 Loftsgordon Drive,Sumiainen,,Finland,44280,75155 Loomis Trail,Shuinanxu,,China,,5249929839,shipped
138,138,138,2/24/2022,4.93,63,94.33,0.22,5402.04,138,cash,5 Algoma Plaza,Bisert’,,Russia,623050,4 Utah Drive,Kap Choeng,,Thailand,57210,8185306225,pending
139,139,139,12/9/2021,19.25,73,800.36,0.91,7612.93,139,cash,8 Dawn Road,Masohi,,Indonesia,,4557 Manley Plaza,Sokol’niki,,Russia,422343,4549281209,shipped
140,140,140,2/24/2020,15.3,90,629.05,0.67,5784.04,140,cash,16455 Golf Course Circle,Changting,,China,,0 Rusk Parkway,Tippi,,Ethiopia,,5132679149,pending
141,141,141,4/6/2022,8.86,50,780.84,0.22,4766.35,141,credit card,1786 Lakewood Gardens Street,Sigay,,Philippines,2719,3 Bunting Pass,Tanakawu Dua,,Indonesia,,2903196549,pending
